tag | canon | symbol | lot_law | risk | entry_long :: exit :: buildon
EX001 | ema-ma | unspecified | martingale | uncapped_martingale | EMA_Fast(10) above EMA_Trend(200) context + EMA_Fast crosses above EMA_slow(50), exponential, candle ID1 :: SL 40 pip, TP 40 pip fixed :: add explicit step cap or switch to linear-add; backtest showed martingale mode 100%+ profi
EX129 | ema-ma | XAUUSD | grid-add | no_sl | EMA8>EMA18 (uptrend) AND close[candle ID10] > close[candle ID1] (price pulled back down within an uptrend) :: trailing money-loss stop fixed 20 USD (step 1 USD), no per-trade SL/TP :: already fixed-lot on recovery adds; add an explicit max-position-count cap and test the tr
EX130 | ema-ma | XAUUSD | martingale | no_sl,uncapped_martingale | EMA5>EMA50 (uptrend) AND CCI14>0 AND CCI25>0 AND CCI50>0 :: no SL/TP; close all positions at combined profit $5; grid recovery lot :: add the hard cut-loss (20-30% balance) the creator himself recommends, or a position-count
EA_FXDreema_EP3_09_10_2567 | ema-ma | EURUSD | grid-add | no_sl,uncapped_grid | WPR(14) crosses above -80 AND close of prior candle > EMA200 AND absolute distance between current price and EMA200 < 40 pips (avo :: no SL, no TP; optional trailing stop (configurable to start only after :: add a hard cap on number of grid adds (e.g. max 5-8 steps) or max lot, or switch the linea
EX123 | ema-ma | unspecified | fixed | no_sl | EMA1>EMA2>EMA3>EMA4>EMA5>EMA6>EMA7 fully stacked descending-period order, distance(EMA1,EMA7)<=1000pip -> buy, no SL/TP :: no SL, no TP, trailing stop 100pip/step5 :: single-order-per-side, no grid/martingale as shown; buildon = add SL, or convert stacked-E
EX001 | ema-ma | unspecified | martingale | uncapped_martingale | EMA10 crosses above EMA50 (exponential), 1 order per bar (Once per Bar filter) :: SL 40 pip, TP 40 pip fixed :: add explicit step cap (e.g. 4-5 doublings) or switch to linear-add lot law; the built-in a
EX114 | ema-ma | XAUUSD | grid-add | no_sl | EMA5>EMA100 with distance<1000pips, triggered when EMA5 crosses down EMA12 -> draw fibo retracement over last 90 candles (low=ref1 :: trailing stop 200/step5 pips applied across all 5 groups simultaneousl :: unoptimized per author; add position cap per group, test with SL/TP or trailing-only risk 
EX111 | ema-ma | XAUUSD | grid-add | no_sl | EMA(8) crosses above EMA(18) AND ROC(12)>0 -> buy 0.01 lot :: no SL/TP; grid-add fixed 0.01 lot every 35pip in trend direction; tell :: add a hard SL layer; the custom-ROC-via-formula technique is reusable when a platform lack
EX201 | ema-ma | unspecified | martingale | martingale | EMA5>EMA200 uptrend, EMA5 crosses above EMA10, and current price within 200 pips of EMA5 -> buy using FX-DMA built-in Martingale m :: fixed SL 500 pips / TP 500 pips per order; martingale multiplier reset :: already capped (5-lot ceiling + hard 500-pip SL, unlike the uncapped/no-SL FVG and impulse
EX004 | ema-ma | EURUSD | martingale | no_sl,uncapped_martingale | EMA12 crosses above EMA20 (candle ID2) and EMA12 stays above EMA20 by >3 pip distance (candle ID0), exponential; first order = 0.1 :: close all buy+sell when combined profit > $30; also an equity-floor re :: add hard SL and an explicit max-order cap; the equity-floor trigger (only escalate lot onc
EX130 | ema-ma | XAUUSD | martingale | no_sl,uncapped_martingale | EMA5>EMA50 AND CCI14>0 AND CCI25>0 AND CCI50>0 :: no fixed SL/TP; close all at $5 combined profit; grid recovery lot x2  :: tune the pip/sec Time-Bomb threshold per timeframe via multi-year backtest as creator sugg
EX212 | ema-ma | unspecified (demoed on BTC) | martingale | no_sl,uncapped_martingale | manual/EA button opens first buy; on adverse move (price below prior buy open, distance >=20 pips) AND EMA3 crosses above EMA8 (re :: trailing-stop ('Tailing Stop') activates only once Equity>Balance, wit :: add explicit max-order/lot cap on the x2 escalation (only -3000 money backstop exists); th
EX188 | ema-ma | XAUUSD (gold, tested at M1 vs designed H1) | martingale | none | EMA3 crosses above EMA8 at candle ID3, EMA3 still above EMA8 and above EMA200 at present, gap >100 pips (cross_over_pip input) :: fixed SL 500 pips / TP 1000 pips per trade; recovery ladder increases  :: already capped at 5 lots with real SL/TP; flat-lot test first to separate entry edge from 
EX079 | ema-ma | EURUSD | fixed | no_sl | prior 2 daily candles both bullish (close ID1 > high ID2) sets signal_buy=1; then EMA fast crosses above EMA slow on current TF -> :: grid correction every 40 pips (fixed 0.1 lot per leg), group-close whe :: grid correction uses fixed lot (not martingale) so main build-on is testing Cut-loss Mode 
EX062 | ema-ma | EURUSD | grid-add | no_sl | no open buy/sell yet; EMA fast(3) crosses above EMA slow(8) at candle ID1, and current price within 15 pips below EMA fast -> buy  :: grid-add correction orders (fixed 0.1 lot, spacing=GridDistance*2=30pi :: already order-count capped at 30/side; try widening grid spacing or tightening cut-loss co
EX052 | ema-ma | unspecified | grid-add | no_sl | price below EMA100 by more than ema_distance(60 pips default); one order per bar :: close first order plus all currently-profitable orders when summed pro :: already capped at 15 orders; flat-lot test first to confirm entry edge; try linear-add or 
EX162 | ema-ma | EURUSD | grid-add | no_sl | EMA100 rising (candle ID1>ID2); EMA45>EMA100 and EMA8>EMA45 at ID1 (bullish fan); EMA3 crosses above EMA8; price-to-EMA3 distance  :: grid-add every 10 pips fixed 0.01 lot continuation; step +0.01 lot eve :: already capped at 0.1 lot; run flat-lot (no step increase) baseline first to isolate the E
EX162 | ema-ma | EURUSD | grid-add | no_sl | EMA100 rising (ID1>ID2); EMA45>EMA100, EMA8>EMA45 fan alignment; EMA3 crosses above EMA8; price-to-EMA3 distance <=100 pips; sprea :: grid-add every 100 pips fixed 0.01 lot; step +0.01 every 5 losing adds :: already capped; formula-based close-money that scales with basket size is a reusable modul
EX062 | ema-ma | XAUUSD | martingale | uncapped_martingale,no_sl | EMA3 crosses above EMA8 AND price within 5000 points of EMA -> buy 0.01 lot; if price falls further, grid-add every 5000-point (gr :: basket close both sides when floating profit > 30 USD (close_money); c :: this is presented as a parameter-tuning session (community-sourced XAUUSD params: >900% re
EX178 | ema-ma | XAUUSD | martingale | martingale | no open position; candle ID1 bullish (open<close); EMA9 above EMA200; EMA9 above EMA26; (price crosses above EMA9 OR price crosses :: trailing stop 500 pips / step 5 pips (backtest setting; recommend step :: already capped at 5 lots; narrator explicitly justifies martingale here because underlying
EX053 | ema-ma | EURUSD | fixed, tiered by account equity: 0.1 lot if equity>90% of balance, 0.2 lot if 80-90%, 0.4 lot if 70-80%, 0.8 lot if equity<70% of balance; grid re-entry every 40 pips within a direction | no_sl | EMA(fast=5) crosses above EMA(slow=12) at candle[3], distance between them > check_distance(3 pips) :: close all buy or all sell orders when unrealized profit sum > close_TP :: current logic increases lot size as equity falls relative to balance (adds risk into drawd
EX068 | ema-ma | unspecified | linear-add | no_sl,uncapped_grid | EMA5>EMA100 and EMA5 crosses below EMA12 (candle_id1) draws fib_buy retracement line from 90-candle high/low; when price crosses u :: close all when combined profit>5 pips; trailing stop 15/step5 once tra :: add max-order/lot cap (none present); flat-lot test (L_Plus=0, already default) to isolate
EX065 | ema-ma | EURUSD | grid-add | no_sl | no open trade; price below EMA_Train(100) by more than DistanceTrend(25 pips) -> buy 0.1 lot :: ForwardTrend: price beyond GridDistance(20pips) in favorable direction :: already order-capped and fixed-lot (no martingale) which is the safer end of this series; 
EX074 | ema-ma | XAUUSD | martingale | uncapped_martingale | EMA_fast(5) crosses above EMA_slow(12) -> buy 0.1 lot, SL=100 pip, TP=100 pip :: fixed SL/TP=100 pip per order; on TP-hit (win) next order in same dire :: add a max-step cap (e.g. 5-6 doublings) or switch escalation to linear-add/log to remove r
EX072 | ema-ma | EURUSD | linear-add | no_sl,uncapped_grid | EMA_fast crossed above EMA_slow at any candle within lookback window candle_id15-24, EMA_fast still above EMA_slow currently, and  :: close all when combined profit>10 pips; trailing stop 10/step1 after t :: add max-order/lot cap; author's 5yr in-sample result had relative DD ~58% - needs flat-lot
EX070 | ema-ma | EURUSD | linear-add | no_sl,uncapped_grid | candle_id1 close above EMA200 and Williams %R (candle_id1) crosses above -80 (exiting oversold) -> buy 0.1 lot :: close all when combined profit>10 pips; trailing stop 10/step1 after t :: add max-order/lot cap; author reports 5yr in-sample gain 471% on EURUSD H1 tick-model but 
EX048 | ema-ma | EURUSD | grid-add (Follow-Trend arm) plus martingale (+0.05 lot per step, Reverse-Trend arm) | no_sl,uncapped_martingale | same first entry as EX048 (price>EMA200 + quality uptrend) -> buy 0.1L, no SL/TP; if price then moves favorably, Follow_Trend mode :: if price instead moves against the first trade, Reverse_Trend mode add :: cap the Reverse-Trend martingale ladder to a fixed number of adds; the Follow-Trend arm (f
EX032 | ema-ma | EURUSD | martingale | no_sl,uncapped_martingale | candle ID1 close above EMA200, SAR1(0.02) below candle close, and SAR1 below SAR2(0.03) — gated to fire once per signal via counte :: close all when combined profit > 13-pip-equivalent; optional $ cut-los :: strong reported backtest (EURUSD H4 1yr, +106%, MaxDD 16%, RelDD 20%) but martingale doubl
EX185 | ema-ma | unspecified (gold implied) | linear-add | no_sl,uncapped_grid | On H1: EMA8 crosses above EMA18 AND EMA8>EMA100 (uptrend align) sets buy-mode=1; on M1 grid opens buy every 100 pips while buy-mod :: modify TP to breakeven (average price) +/-50 pips per basket; no SL; c :: add explicit lot cap (e.g. 1.0 lot) since none stated; try widening grid step per set (100
EX150 | ema-ma | XAUUSD | linear-add | no_sl | EMA(3) crosses above EMA(45) at ID1, confirmed EMA(3) below EMA(45) for 9 preceding candles (ID2-ID9) = clear uptrend, sets buy-mo :: no SL/TP on individual orders; group-close when combined buy+sell floa :: already capped at 0.1 lot via Volume Upper Limit; try widening the 9-candle trend confirma
EX185 | ema-ma | XAUUSD (gold) | linear-add | no_sl | H1: EMA3 crosses above EMA8 AND EMA3>EMA200 sets buy-mode=1; M1 grid opens buy every 100 pips while buy-mode=1 :: modify TP to breakeven average price +50 pips (buy) / -50 pips (sell); :: already capped 1.0 lot; flat-lot test first; try pending limit orders instead of grid mark
EX143 | ema-ma | EURUSD (10-pip grid tuned for EURUSD; narrator notes widen for XAUUSD) | grid-add | no_sl | EMA_fast(5)>EMA_slow(20) (uptrend) and price within 15 pips of EMA_fast -> open first buy in group1 (only if buy-mode enabled by u :: no SL/TP; FL-train mode trails profit with trailing stop 15 pips/step1 :: default config ships with the order-count safety net (Save-Mode) turned off -- build-on sh
EX188 | ema-ma | XAUUSD (gold) | martingale | uncapped_martingale | EMA8 crosses above EMA18 at candle ID3 (holds through present), EMA8 above EMA100, and gap between EMA8/EMA18 > 5 pips (input-conf :: fixed SL 300 pips / TP 500 pips per trade; time filter 14:00-21:00 ser :: add an explicit max-lot cap since none is stated; flat-lot test first to isolate whether t
EX186 | ema-ma | unspecified (M1 backtest) | martingale | no_sl | detect 3-4 consecutive down candles spanning >200 pips (downtrend), arm buy signal; when price closes back above EMA8 within 15 ca :: trend-mode closes at +30 USD profit; reverse/recovery-mode (adverse mo :: already capped at 1.0 lot; flat-lot test first; the demand/supply zone entry itself (candl
EX048 | ema-ma | EURUSD | grid-add | no_sl,uncapped_grid | price above EMA200 AND New_Top_in_Trend block confirms quality uptrend (pass_candle_count=10, min_pip_range=50, trend_quality=8) - :: grid-add every 10 pips (grid_distance) in trend direction while unreal :: add a max grid-step cap and/or ATR-scaled grid distance; enable the EMA-cross cut-loss mod
EX183 | ema-ma | XAUUSD | martingale | no_sl,martingale | EMA fast(8) > EMA trend(100) AND EMA fast(8) > EMA slow(18) (uptrend alignment) AND candle ID10 close > candle ID1 close (price pu :: follow-trend/reverse-train dynamic close-money formula scales with num :: already capped at ~50 orders; author explicitly warns April 2025 (54,000-pip swing month) 
EX183 | ema-ma | XAUUSD | martingale | no_sl,martingale | manual buy-mode flag true AND no open buy AND EMA(3) > EMA(200) AND EMA(3) > EMA(8) (uptrend alignment) AND candle ID10 close > ca :: ATR-scaled trailing stop once 2+ orders open (TS distance = ATR x fact :: well-capped already (order limit, money stop w/ Terminate, spread filter, time filter); st
EX151 | ema-ma | XAUUSD (low-spread account, e.g. GX Zero Space) | fixed | none | EMA(5) crosses above EMA(50) confirmed by 9-candle trend check, sets buy-mode; actual entry uses Price-Cross-Above-Indicator on EM :: stop-loss = lowest/highest price over lookback candles ID1-ID9 (custom :: already has a real SL (candle-range based) unlike sibling examples; build-on: test the swi
EX035 | ema-ma | EURUSD | grid-add | no_sl,uncapped_grid | EMA5 crosses EMA12 (either direction) opens both buy 0.1 lot (TP50pip) and sell 0.1 lot (TP50pip) simultaneously; if price rises a :: close each side (buy basket / sell basket) when its unrealized profit  :: add a hard max-order cap (e.g. 20) and/or SL per basket; test flat-lot (no post-10 escalat
EX210 | grid-hedge-recovery | unspecified | linear-add | no_sl,uncapped_grid | manual/EA button opens first buy; subsequent buy-adds every 150 pips distance; orders 1-4 fixed at Lot_Start(0.01), from order 5 o :: close all when floating profit > 100 pips (pip-based); cut-loss at -$3 :: same pattern as EX209 - add hard max-order/lot cap; concept of '4 fixed orders then escala
EX208 | grid-hedge-recovery | unspecified (demoed on BTC) | grid-add | no_sl | manual button click 'Open Buy' (one-time, single first entry) -> EA auto-places 15 buy-stop pending orders spaced Grid_Distance (2 :: close all + delete remaining pendings when profit > $50; cut-loss at - :: naturally capped by fixed 15-order ladder; extension is same as EX207 - pair with an autom
EX127 | grid-hedge-recovery | XAUUSD | grid-add | uncapped_martingale | mode_buy=true and price between dynamic upper/lower band lines (band = current price +/-1000pip via pip_level) -> buy every 100pip :: in-band orders TP100pip each; if price breaks band and floating loss > :: near-duplicate of the companion 127 video with 10% trigger instead of 3% and Every-tick 1-
EX177 | grid-hedge-recovery | unspecified | linear-add | no_sl,uncapped_martingale | first order: no condition, opens both buy 0.01 and sell 0.01 simultaneously if no position exists; subsequent buy adds: if current :: close all buy+sell when combined unrealized profit > 5 USD, reset lot  :: add volume_upper_limit cap on the linear-add side (only cut-loss money currently bounds ri
EX135 | grid-hedge-recovery | unspecified (demo account example, broker-agnostic) | linear-add (stepped: +0.01 lot every 5 orders in loss-recovery mode) | no_sl,uncapped_grid | first buy opened manually via on-chart button or mobile (no signal logic, no SL/TP); after that, if price rises system adds buy ev :: FL-Train mode: ATR-adaptive trailing stop (base 100 pips x ATR multipl :: manual-trigger + automated bidirectional management (profit-trail vs loss-grid) is a reusa
EX180 | grid-hedge-recovery | XAUUSD | martingale | no_sl,martingale | impulse bearish candle body >150 pips -> pending buy at candle midpoint; delete/re-arm if not filled in 5 candles :: follow-trend mode closes at fixed $ profit, reverse-train repair mode  :: already grid/martingale by design; confirm order cap exists (carry over 50-order cap from 
EX203 | grid-hedge-recovery | unspecified (demoed on BTC) | fixed | no_sl | price within [lower,upper] band AND mode_B=true (trend-following toggle, user sets true only in uptrend) AND no nearby buy within  :: individual TP at Distance pips per order; portfolio cut-loss when floa :: already has 3% balance cut-loss and one-sided trend filter; extend to auto-detect trend (e
EX177 | grid-hedge-recovery | unspecified (tested on GOX/gold-style volatile symbol implied) | linear-add | no_sl,uncapped_martingale | first order: opens both buy and sell 0.01 regardless of condition (once); mode_buy=true enables buy-side correction: if price < pr :: close all when unrealized profit > 5 USD reset; cut-loss close-all at  :: key doctrine stressed by narrator: must pick mode_buy/mode_sell matching the higher-timefr
EX180 | grid-hedge-recovery | XAUUSD | martingale | no_sl,martingale | impulse bearish candle (body >150 pips) -> pending buy at candle midpoint (50% of body from prior candle close); pending deleted i :: follow-trend mode closes at fixed $ target (30 in later group, varies) :: already capped at 50 orders via Max Order safeguard; try flat-lot test first (disable step
EX127 | grid-hedge-recovery | XAUUSD | grid-add | uncapped_martingale | mode_B=true and price between dynamic upper/lower band lines (initial band = current price +/-1000pip) -> buy every 100pip grid in :: in-band orders TP100pip each; if price breaks band and floating loss > :: already has hedge-size logic and a mutually-exclusive cut-loss alternative mode; note auth
EX061 | grid-hedge-recovery | EURUSD | grid-add | no_sl | candle ID1 bullish (body>=2pips) AND Awesome Oscillator forms a momentum-exhaustion+reversal shape: ID1>ID2, ID3>ID2, ID4>ID3 (all :: basket close per pass when floating profit (as-position) > 5 pips (clo :: already capped; creator's own A/B test (separating buy-first/sell-first tracking) showed c
EX038 | grid-hedge-recovery | EURUSD | grid-add | no_sl,uncapped_grid | no prior buy/sell exists: open first buy+sell 0.1 lot together - continues adding buy grid orders spaced GridDistance1=15pip (fixe :: once order count>=20 (mtpOrder), close whole basket when unrealized pr :: add a hard cap on total orders after the 20-order threshold, add SL per basket, and test w
EX092 | grid-hedge-recovery | XAUUSD | grid-add | no_sl,uncapped_grid | price within [Lower_Line, Upper_Line] zone set at EA init/reset (entry_price +/-1500pips) -> buy 0.01L on a 100-pip grid inside th :: close basket both sides when profit > $5; additionally when buy (or se :: add an explicit hard order cap; enable the -$3000 cut_loss by default rather than leaving 
EX089 | grid-hedge-recovery | XAUUSD | linear-add | no_sl | ID1 candle matches either (bearish, lower_wick>=30% of candle_size, candle_size>=100pips) or (bullish, both wicks<=20%) -> buy fix :: close basket both sides when unrealized profit > $30 :: already capped at 30 orders/side; run flat-lot test to confirm entry-only edge; consider t
EX034 | grid-hedge-recovery | EURUSD | grid-add+martingale | no_sl,uncapped_martingale | 00:01-09:00 server time: open buy grid, 4 orders max, 20pip spacing, fixed 0.1 lot each, no SL/TP; 13:00-22:00 NY session: if prio :: close buy side when buy profit > $100; close sell side when sell profi :: cap the martingale session step count explicitly (e.g. max 3 doublings), add hard SL per b
EX026 | grid-hedge-recovery | unspecified | martingale | no_sl,uncapped_martingale | group1 starts with immediate buy, group2 starts with immediate sell (opposite start sides); each group then adds in the direction  :: close both groups together when combined profit across group1+group2 > :: direct extension of EX025 to double order volume via parallel groups for lot/rebate farmin
EX025 | grid-hedge-recovery | unspecified | martingale | no_sl,uncapped_martingale | first order always opens with no condition (buy immediately when flat); subsequent buys add every time price extends >30 pips beyo :: close all (buy+sell) when combined profit > $3, no SL/TP on any order :: author explicitly designed this for high-frequency/rebate-farming traders (>3000 orders/ye
EX031 | grid-hedge-recovery | EURUSD | grid-add | no_sl,uncapped_grid | first buy opens unconditionally when flat (mode toggle true); subsequent buys add every 20 pips as price extends against/away from :: once >=3 orders on a side, close oldest+newest-2 as a group when their :: strong 1yr backtest (+145% Control-Point / +145% Every-tick, but DD 63.8% is high); build-
EX030 | grid-hedge-recovery | EURUSD | grid-add | no_sl | first buy opens unconditionally when flat; subsequent buys add every 20 pips as price extends favorably (continuation grid), fixed :: close all buy+sell when combined profit >= $30; hard cut-loss closes e :: already has a real cap (10 orders/side forces close regardless of profit) unlike EX025/26;
EX116 | grid-hedge-recovery | XAUUSD | martingale | martingale | open buy and sell simultaneously at start (Counter Pass One, once), then re-open in same direction whenever that side's position c :: SL=500pips, TP=500pips fixed per leg; on win, reset lot and reopen at  :: already capped 2 lots with SL; flat-lot test first to isolate entry edge from martingale c
EX126 | grid-hedge-recovery | XAUUSD | grid-add | uncapped_grid | mode_buy=true -> open buy every 100pip grid distance, fixed 0.01 lot, no SL/TP; TP of all buy orders Modify'd to average_price_buy :: basket TP recalculated to breakeven+50pip on each add; hard cut-loss a :: author explicitly recommends trend-following single-side use (buy-only in uptrend) for hig
EX124 | grid-hedge-recovery | EURUSD | grid-add | no_sl | custom indicator buffer0 (red) crosses above buffer1 (blue) between candle ID2 and ID1 -> buy 0.01, no SL/TP :: no SL/TP on entries; grid-add every 15pip on adverse move; hard cut vi :: already order-count capped at 30; also admin/tooling content on importing external indicat
EX116 | grid-hedge-recovery | XAUUSD | martingale | no_sl,martingale | open buy+sell simultaneously once per minute if missing (changed from Counter Pass One to Once-per-minute check to fix users' orde :: no SL; TP=500pips only; when either side hits TP, immediately close th :: good example of build-on: added consecutive-loss cut-loss + alerting on top of prior marti
EX126 | grid-hedge-recovery | unspecified | grid-add | no_sl | mode_B=true -> open buy every 100pip grid distance, fixed 0.01 lot, volume_upper_limit set to prevent lot-jump; no SL/TP; TP of wh :: basket TP recalculated to breakeven+50pip via average-price formula ea :: already volume-capped and %-balance cut-loss capped; core reusable technique = the average
EX083 | ict-smc-zone | EURUSD | linear-add | no_sl | 3 bearish candles (ID1-3) with summed body size >= 50 pips define ICT Zone (B1=close ID1, B2=open ID3, drawn as chart lines); pric :: trailing stop 40 pips step5 group-of-trades after 2+ legs; grid-add co :: already capped at 20 orders; build-on = test the author-noted parameter discrepancy (grid 
EX144 | ict-smc-zone | XAUUSD | grid-add | no_sl,martingale | price breaks above ZZ-derived swing-high line (LINE_buy, H1 zigzag depth20) enabling buy-mode, then bullish engulfing forms inside :: grid/reverse-train adds every 100pips; trailing stop 150pips/step5 onc :: already capped at 15 orders before switching to hedge; fix the hedge-grid bug (author's ow
EX097 | ict-smc-zone | XAUUSD | martingale | martingale | buy-stop pending order placed 75pip above current price, opened only when ATR liquidity check (4-candle ATR rise >100pip) passes :: TP/SL 60pip; breakeven-point system: once profit reaches 30pip trigger :: already capped by consecutive-loss=10 and has a breakeven lock; test replacing loss-count 
EX055 | ict-smc-zone | EURUSD | grid-add | uncapped_grid | 3 consecutive down candles (body open>close each) = down impulse >=20 pips total body; wait for reversal signal (ID2 down, ID1 up) :: close all when price crosses the dynamic TP line (BTAB/STAB, set 10 pi :: add explicit max-order cap (e.g. 5-8 adds) and convert the visual BSL/SSL lines into a cod
EX144 | ict-smc-zone | unspecified (gold implied by narrator's earlier videos, not explicit here) | martingale | no_sl | price breaks above prior H1 ZigZag high (mode buy=1) then pulls back into an ICT zone (3 consecutive bearish candles, zone size >1 :: no SL/TP; corrective (against-position) re-entry uses a doubling grid  :: same base idea as EX140 (ZigZag break + ICT zone + engulfing) but adds a doubling-distance
EX097 | ict-smc-zone | XAUUSD | martingale | martingale | buy-stop pending order at price offset (300-500pip tested) from current price; if Scalping Mode=true opens every bar unfiltered, i :: SL/TP symmetric (300pip example); on loss lot doubles (x2), on win res :: already has two safety caps (lot ceiling + loss-count); compare ATR-filter-always-on vs sc
EX200 | ict-smc-zone | unspecified | martingale | no_sl,martingale | Time Bomb Up detects 100-pip move within 10 sec impulse AND bullish engulfing pattern -> buy; author notes an optional buy-only/se :: trailing stop scaled by ATR once >=2 orders open; martingale-recovery  :: already capped at 50 orders; author explicitly states closing the counter-trend side (buy-
EX088 | ict-smc-zone | EURUSD | fixed | no_sl | 3 consecutive bearish candles ID1-ID3 with combined body>=50pips define ICT_Zone_B1/B2; when price sits between them and closes ab :: close basket both sides when unrealized profit > target_profit ($100); :: the reusable module here is the monthly profit-lock wrapper (12x month_filter blocks + cou
EX197 | ict-smc-zone | unspecified | martingale | no_sl,martingale | 3-candle bullish FVG detected; RSI(7) oversold(<30); price breaks/closes above the opposite sell-gap (FVG_S2) -> buy (breakout, no :: trailing stop scaled by ATR once >=2 orders open; martingale-recovery  :: already capped via hedge@10 + 30% balance cut-loss; author reports only ~11% drawdown vs 2
EX196 | ict-smc-zone | unspecified | martingale | no_sl,martingale | bullish FVG detected (candle ID1 low > candle ID3 high, body ID2 bullish >=100 pips, drawn as lines FVG_B1/B2); price closes back  :: trailing stop distance scaled by ATR(average-to-range) once >=2 orders :: already capped (10-order hedge trigger + optional 30% balance cut-loss); flat-lot test the
EX196 | ict-smc-zone | unspecified | martingale | no_sl,martingale | bullish FVG (ID1 low > ID3 high, body ID2 bullish >=100 pips) drawn; if price closes back inside gap -> buy; if price breaks throu :: no SL/TP stated on entries; martingale recovery leg closes when profit :: capped at 15 orders (order-count cut only, no %-balance cut-loss shown in this variant) — 
EX014 | ict-smc-zone | unspecified | martingale | uncapped_martingale | ID1 and ID4 both bearish candles, close(ID1)<open(ID4), distance(open(ID4) to close(ID1))>60pip -> draw buy_point line at open(ID1 :: fixed-pip SL20/TP30 per trade; no separate account-level close block s :: add an explicit cap on martingale steps or switch to linear-add since each trade already c
EX055 | ict-smc-zone | EURUSD | grid-add (fixed 0.1 lot per re-entry on repeated reversal signals within the trap zone, 5-pip spacing) | uncapped_grid | 3 consecutive bearish candles (ID1-ID3) with summed body size > trap_start(45 pips) draws a TP line just below the ID3 candle's op :: take-profit when price crosses the drawn trap line (B_Tab/S_Tab, close :: add an explicit max-order cap to the grid re-entry loop (currently unbounded in the transc
EX198 | ict-smc-zone | unspecified | martingale | no_sl,martingale | buy if EITHER: price breaks above sell-gap FVG_S2 with RSI(7) oversold, OR price closes back inside buy-gap FVG_B1/B2; gap lines n :: trailing stop scaled by ATR once >=2 orders; martingale-recovery leg c :: already capped (hedge@10 + 30% cut-loss); combining both EX196+EX197 entry conditions roug
EX013 | ict-smc-zone | unspecified | fixed | none | bearish candle(ID1) with body>=30pip -> place buy pending order at midpoint of that candle (close price offset by half its body si :: TP/SL as set per trade; unfilled pending order auto-deleted after C_ca :: already flat-lot with SL/TP; extend across symbol/TF and test scaling lot with balance; au
EX009 | ict-smc-zone | EURUSD | linear-add | no_sl,uncapped_grid | candle_low(ID1)>candle_high(ID3) forms gap, ID2 bullish body>=20pip; when close(ID1) falls inside gap (between fvg_B1/fvg_B2) -> b :: close both sides when combined floating profit(money)>$30; separate cu :: add explicit per-trade SL or hard step cap alongside the 30%-balance cut-loss; flat-lot te
EX009 | ict-smc-zone | unspecified | martingale | no_sl,uncapped_martingale | candle_low(ID1)>candle_high(ID3) gap, ID2 bullish body>=20pip; close(ID1) inside gap -> buy 0.01 lot, once per bar, no SL/TP :: per-side TP=15pip (sum-of-pip profit); no SL :: cap the martingale multiplier steps (e.g. max 5 adds) or swap to linear-add; flat-lot test
EX139 | ict-smc-zone | unspecified (implies gold/1min context) | martingale | no_sl,martingale | 3 consecutive bearish candles (ID3,ID2,ID1) with summed body size >=100 pips draw a zone (line B1 low/B2 high); enter buy when pri :: close both buy+sell when profit > $5; grid recovery distance doubles e :: add explicit max-order-count cap in addition to the $3000 equity cut-loss; flat-lot test t
EX112 | ict-smc-zone | XAUUSD | grid-add | no_sl | price breaks below auto support (liquidity sweep) within 10 candles, pulls back above the support line, AND MACD(4,9,4)>0 -> buy 0 :: no SL/TP; grid-add fixed 0.01 lot every 35pip in trend direction; tell :: add a hard SL layer; the liquidity-sweep + pullback + MACD-confirmation entry logic (auto 
EX209 | ict-smc-zone | unspecified | linear-add | no_sl,uncapped_grid | H1 MACD > 0 AND histogram bars ID1>ID2>ID3>ID4 (strictly increasing magnitude, uptrend alignment) -> set mode_buy=1, then on M1 op :: close all when total floating profit > 100 pips; cut-loss at -$3000 cl :: add explicit max-order/lot cap (currently only monetary -3000 backstop); the MACD histogra
EX136 | ict-smc-zone | XAUUSD (gold, per author's own tuning e.g. grid_distance/tailing values) | martingale (stepped: +0.01 lot per 5-order block, capped) | no_sl | group1, no open buy: 3-candle bullish reversal (ID3 bear/ID2 bull/ID1 bull) + Stochastic oversold (<20) -> buy 0.01 lot, with Volu :: winning mode: grid-add every 100 pips then ATR-scaled trailing stop on :: already capped (0.1 lot ceiling + 50-order max) so this is directly buildable per user doc
EA_FxDreema_EP4_01_02_2567 | ict-smc-zone | unspecified | martingale | no_sl,uncapped_martingale,uncapped_grid | EX26: on start, opens Buy in group-1 regardless of market direction while group-2 opens Sell at the same point (deliberate two-sid :: EX26: no SL, no TP; closes both groups together once combined floating :: EX26/EX10: add an explicit max-order-count or max-lot cap before any live use - EX26 grew 
EX019 | ict-smc-zone | EURUSD | fixed | no_sl,uncapped_grid | 3 consecutive bearish candles(ID1-3) with combined body>=50pip draw ICT_Zone_B1/B2; price closes inside zone + bullish engulfing ( :: TP=10pip scaled by position size (pip-as-position); grid correction ad :: add an explicit max-order cap on the grid correction before build-on; author reports 5yr E
EX186 | ict-smc-zone | unspecified (M1 backtest) | grid-add | no_sl | 3-4 consecutive down candles spanning >=200 pips then price closes back above EMA8 within 15 candles opens first buy (demand zone) :: close basket at +5 USD (scalping style); cut-loss -3000 USD closes all :: already capped at 0.1 lot; flat-lot test first; try linear/log lot law instead of fixed gr
