name,kind,verdict,verdict_date,symbols_tested,TFs_tested,lever_rounds_evidence,best_PF_seen,class_claimed,source_file,source_anchor
"KRAPOOK BLUE ANT","EA","DISQUALIFIED - expired/locked (best profile of pool; distance-scaling technique saved)","2026-06 (screen era)","1: XAUUSD","1: H1","hard gate (expired) - no sweep possible","2.65 (screen)","STRUCTURAL (un-deployable)","EA_SCORECARD_AND_REGISTRY.md","MT4 SCREENED"
"BuRengNong207","EA","DISQUALIFIED - martingale-only, no signal under it","2026-06 (screen era)","1: XAUUSD","1: H1","mult=1.0 flat-lot probe -> 0/9 pass (early flat-lot precedent)","1.76 (screen)","STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","MT4 SCREENED"
"EURUSD Trading Forex Robot (MT4)","EA","REJECT permanent - DO-NOT-RE-EXAMINE (closed the 63-EA re-exam queue)","2026-07-07","1: EURUSD","1: H1","chain stopped at first gate by design: BWD-OOS 2020-22 PF 0.39 net -$5,840; earlier WATCH was thin 48t 2026-only regime","3.89 (2026 thin)","artifact (regime)","AGENT_TASKBOARD.md","ORDER-044"
"Espresso_Gold / Fx Setka / Little Birds / KRAPOOK Yellow","EA","DISQUALIFIED (catastrophic DD 60-125% grid/martingale)","2026-06 (screen era)","(screen basket)","1: H1","screen-level only (conf 2-star) - no sweep","(not recorded)","STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","MT4 SCREENED aggregate row"
"EA Game Changer / GMGS PRO","EA","DEAD (Model-2 tight-TP/hedge-grid artifact)","2026-06 (screen era)","1: XAUUSD","1: H1","TP x10 lever probe confirmed artifact","(XAU high, artifact)","artifact","EA_SCORECARD_AND_REGISTRY.md","MT4 SCREENED"
"MT4 63-EA screen remainder (~44 EAs)","EA","DEAD/REJECT (structural NO_DATA/init-fail, commercial-locked, or grid)","2026-06 (screen era)","(screen basket)","1: H1","screen-level smoke only (conf 2-star), no optimize - pre-dates rescue-ladder rule entirely","(not recorded)","STRUCTURAL (claimed)","EA_SCORECARD_AND_REGISTRY.md","MT4 SCREENED '~44 others'"
"strategy_idea_bank / INTAKE Bucket C+D+E (251 mq5, ~26 families)","concept","DEAD 0 survivors (martingale/grid ports) - 'not a treasure trove; a pile already proven DEAD'","2026-06 (pre-06-27)","(smoke basket)","1: H1","smoke screen only; Bucket D = 0 survivors; version-churn of ~26 dead families","(none)","STRUCTURAL","MASTER_BACKLOG.md","section 1 + section 5"
"Boss_11_GridTrend (MA-cross chassis)","EA","suspend - no edge (0/7 optimize passes); Boss_12/13 thin","2026-06 (template era)","(template tests)","1: H1","optimize 0/7 pass across template trio","(sub-gate)","PARAMETRIC (swept)","MASTER_BACKLOG.md","section 4 EA_TEMPLATE"
"BRKXAUH4 TF-scaled Bars8 (EA #10 demo)","cell","VALIDATED CANDIDATE (leg #8) - later CORRECTED: 'H4' was mislabel (EA hardcodes H1; real lever = BreakoutBars)","2026-06-27","1: XAUUSD","1: H1-signal (H4 label wrong)","6-combo plateau Bars(8/12/20)xTP IS+OOS Model 4 (IS 1.66-2.61 / OOS 2.38-3.92) + MC PASS PF-5th 1.73 ruin 0; corr vs live 0.21","3.92 OOS","n/a (pass)","MASTER_BACKLOG.md + signal-landscape","hunt list + LESSON entry"
"(oh) pun fix lot v05","EA","REJECT - DO-NOT-RE-EXAMINE (passed every numeric gate then killed by source-read + BWD)","2026-07-06","4-symbol basket (but EA hardcodes EURUSD/GBPUSD/EURGBP - 'multi-symbol robust' was 1 portfolio run 4x)","1: H1","full ladder passed (M1 1.63/M4 1.51, all years 2023-26 positive, MC ruin 0) THEN source: no-SL + TP10pips harvester; BWD 2022 PF 0.36 / eqDD 83.08%","1.63","STRUCTURAL (mechanism-fatal)","EA_SCORECARD_AND_REGISTRY.md","MASS-SMOKE table + ORDER-037/038"
"EA_GapinFX_MT5","EA","REJECT - DO-NOT-RE-EXAMINE","2026-07-06","2: USDJPY EURUSD","1: H1","BWD 2020-22: 2020 PF 2.54 / 2021 PF 22.56 -> 2022 PF 0.02 -$11,212 balDD 111.87% (real wipeout); gap-fade harvester; compiled no source","2.74 (M1)","STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","MASS-SMOKE + ORDER-037"
"North East Way v1.309_fix","EA","DISQUALIFIED - cracked commercial ('_fix'/'_nodll'), no further testing","2026-07-06","4: XAU EUR USDJPY AUDNZD","1: H1","hard gate (cracked binary) - KRAPOOK precedent; technique (multi-pair MR grid) already known in mold axes","2.07 (M1)","STRUCTURAL (no-source/cracked)","EA_SCORECARD_AND_REGISTRY.md","MASS-SMOKE + ORDER-037"
"Scalping-EA-AsReMix","EA","PARKED - trend-regime specialist edge-decay; re-examine trigger = JPY/USD vol regime returns; ADX-conditioning rescue FAILED 07-09","2026-07-06 (re-affirmed 07-09)","1: USDJPY (basket smoke found it)","1: H1","Model-4 real ticks 2022 = 2.71 (only 1 of 203 not harvester/artifact); FULL 6.5yr year-split 20-23 good 24-26 fading; MC worst DD 106%; ORDER-062 ADX gate: year-split flips 2/7 years + MC gated 1.14<1.2 + decay persists inside TREND bucket","2.99 (2022)","PARAMETRIC (regime decay)","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","MASS-SMOKE row + ORDER-039/062"
"(Oh) Arbitrage Super Profit V04","EA","REJECT tester-artifact (too-good)","2026-07-06","3-symbol arbitrage","1: H1","BWD full 1.64 +$99,074 from 10k eqDD 1.47% = exploits sim tick-sync that does not exist live; structural artifact call, no sweep","1.64 (+$99k artifact)","artifact","EA_SCORECARD_AND_REGISTRY.md","MASS-SMOKE table"
"EX39.PU-test","EA","REJECT - floating hidden (balDD 2.65% vs eqDD 69.54%)","2026-07-06","2: XAUUSD EURUSD","1: H1","BWD every year 1.86-2.00 but equity dives 70% = no-SL hold harvester; no sweep needed per structural call","3.46 (M1)","STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","MASS-SMOKE table"
"SL=2GRIDE / The One 1.0.3","EA","WATCH-thin (no further effort; name kept, not in funnel)","2026-07-06","2 cells","1: H1","BWD 1.13/eqDD11 and 1.14/DD31 - edge too thin/DD high; no sweep","2.32 (M1 The One, tight-TP suspect)","unknown (default-only)","EA_SCORECARD_AND_REGISTRY.md","MASS-SMOKE table"
"MT5 mass-smoke 12-EA reject sweep (IR Whale, BOO, JMAR, Grid UL, pun hedging, Master GRID, Black Dragon, IRSI, grid v05, GOLD CENTER, continue, fibo gold)","EA","REJECT wholesale (regime-harvester family, all die 2020-22); PumLot+PROFIT PLANET = NO_REPORT","2026-07-06","(4-symbol basket)","1: H1","BWD-OOS sweep BWDOOS_SWEEP.csv: eqDD 51-106% across the board (IR Whale 106, JMAR 99, grid v05 94); default params only, no optimize (deemed structural)","3.94 (IR Whale M1 tight-TP artifact)","STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","MASS-SMOKE aggregate row"
"MT5 mass-smoke pool remainder (203 ex5: 157 zero-trade + sub-gate rest)","EA","no-edge at smoke / skip (explicitly 'not DEAD' per Tier rules)","2026-07-05","4: XAUUSD EURUSD USDJPY AUDNZD","1: H1 (compiled default)","M2 3-month gate then M1 12-month; default params only; 39 survivors escalated, rest Reject-tier = 'noise/no edge - NOT DEAD' by spec","(sub-gate)","unknown (default-only)","AGENT_TASKBOARD.md","ORDER-035 + review note"
"Breakout Retest Pro EA","EA","no survivor (XAU -$4950 DD67%, EUR PF 0.76)","2026-07-05","2: XAUUSD EURUSD (+USDJPY tier-A row 1.03)","1: H1","default smoke only M2->M1","1.03","unknown (default-only)","AGENT_TASKBOARD.md","ORDER-033"
"GapFillRSI","EA","non-functional as-is (0 trades both symbols)","2026-07-05","2: XAUUSD US30","1: H1","default smoke only - zero trades","n/a","unknown (untestable)","AGENT_TASKBOARD.md","ORDER-033"
"(oh) Bot V00","EA","no survivor ('grid churn not edge': EUR PF 1.37 but DD 42.9%; XAU 0.69/DD89.5)","2026-07-05","2: EURUSD XAUUSD","1: H1","default smoke only M1 12mo","1.37","STRUCTURAL (grid churn claim)","AGENT_TASKBOARD.md","ORDER-033"
"(Niyombot) B2 Gold Deng M15 TLM","EA","no survivor (PF 0.16, -$9,158, DD 94%)","2026-07-05","1: XAUUSD","1: M15","default smoke only","0.16","unknown (default-only)","AGENT_TASKBOARD.md","ORDER-033"
"ClevrFX_EA","EA","DEMO-EXPERIMENT CANDIDATE (passed everything backtest can answer) - demo attached","2026-07-06","1: (batch-01 EURUSD lane)","1: H1","BWD all years positive 1.76/1.51/2.37 + 2026 2.04; spread-stress sp30=2.04 sp45=1.93; no hard SL but internal cut-loss works (survived 2022); compiled black-box = no param sweep possible","2.37","n/a (pass w/ no-SL caveat)","EA_SCORECARD_AND_REGISTRY.md","MT4 batch-01 + ORDER-040/041"
"Fxcore100_SELL","EA","DISQUALIFIED - pirated copy (user confirmed); numbers kept as prior if official copy ever bought","2026-07-06","1 cell","1: H1","passed ALL numeric gates (BWD all years positive + spread 3x stands) - killed on provenance only","(passed gates)","STRUCTURAL (no-rights/cracked)","EA_SCORECARD_AND_REGISTRY.md","MT4 batch-01 + ORDER-041"
"CITY-GOLD HUNTER PROx2_fix","EA","DQ-by-name (cracked '_fix' + PF 259.99 = artifact on artifact)","2026-07-06","1 cell","1: H1","none - name gate","259.99 (absurd artifact)","STRUCTURAL + artifact","EA_SCORECARD_AND_REGISTRY.md","MT4 batch-01"
"MT4 batch-01 zero-trade 8 (Broker Killer, Fxcore100_BUY, Mood, Elise, AW Recovery_NEW, Alpha Striker, Forexthai4pip, Hedgingprofit)","EA","REJECT-unverifiable (trade only 2026 = suspected time-lock/expiry; durability unmeasurable)","2026-07-06","(batch lane)","1: H1","BWD 2020-22 = zero trades; no sweep possible","(unverifiable)","STRUCTURAL (unverifiable)","EA_SCORECARD_AND_REGISTRY.md","MT4 batch-01 aggregate"
"MT4 batch-01 harvester 9 (Forex Hacked, DanceT, FLy_HiGhEr, forexthaipop, Happy thaipop, MoneyTree x2, Miracle, CommunityPower)","EA","REJECT (BWD explodes, DD 57-108%)","2026-07-06","(batch lane)","1: H1","BWD-OOS only, default params (BWDOOS_MT4.csv); several later re-detailed in batch 02-03 rows","1.91 (CommunityPower)","STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","MT4 batch-01 aggregate"
"UnNomGuaiV1.132","EA","DEMO-EXPERIMENT CANDIDATE (survivor #1 of 1,318; demo attached 07-09; cap 99->20 free win)","2026-07-07","1: EURUSD","1: H1","full funnel: smoke -> lot-check x2.3 -> BWD 1.89/DD18.7 -> SPR30 1.83 -> Model-0 1.63/DD19.3 -> fwd Model-0 1.77/DD4.8; ORDER-046 cap probe space3Orders 99->20 = identical to the cent; black-box, no param sweep","2.06 (smoke)","n/a (pass w/ SL=0 caveat)","EA_SCORECARD_AND_REGISTRY.md + ORDER-036_MT4_MASS_SMOKE.md","ORDER-036 survivors + ORDER-046"
"RSI from pips_EA","EA","DEMO-EXPERIMENT CANDIDATE (cleanest profile of 1,318) - EURUSD-specific, deliberately NOT optimized (black-box overfit risk)","2026-07-07","10: EURUSD(pass) AUDUSD AUDCAD XAUUSD GBPUSD +5 (BWD kills all non-EUR: ladder x11-19, DD 50-58%)","4: M15 M30 H1 H4 all stable 2.48-2.83 (edge not TF-artifact)","funnel: BWD 2.32/DD7.6 -> SPR30 2.25 -> Model-0 bwd 2.07/DD25 + fwd 2.39/DD2.2; lot x6 clean; breadth 10-symbol + TF sweep (ORDER-047) then decision NOT to optimize (source-less .ex4)","2.39 (M0 fwd)","n/a (pass w/ SL=0 caveat)","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","ORDER-036 survivors + ORDER-047"
"swb grid 4.1.0.3_h flat-lot x AUDCAD","EA","DEMO-EXPERIMENT CANDIDATE #3 (revived by right symbol + lot_multiplier=0 probe)","2026-07-07","4: AUDCAD(pass) AUDUSD(cond) EURUSD(rej DD42) XAUUSD(rej 0.35/DD105)","1: H1","1 structural lever probed (lot_multiplier=0 -> flat) then full chain fresh: BWD 2.40/DD8.6 -> SPR30 2.23 -> Model-0 1.80/DD20.44; ladder x3-4","2.40 (BWD)","n/a (pass w/ no-SL caveat)","EA_SCORECARD_AND_REGISTRY.md + AGENT_TASKBOARD.md","ORDER-036 survivors + ORDER-046/047"
"swb flat-lot x AUDUSD","cell","CONDITIONAL secondary (weaker than AUDCAD)","2026-07-07","(see swb row)","1: H1","BWD 2.46/DD25.5 -> SPR30 2.18/DD27 -> Model-0 1.66/DD31.93; ladder x5","2.46","n/a (conditional)","EA_SCORECARD_AND_REGISTRY.md","ORDER-036 survivors"
"swb flat-lot x EURUSD / XAUUSD","cell","REJECT - swb is symbol-specific (EURUSD M0 DD 42% over gate; XAU SPR30 0.35/DD105%)","2026-07-07","2: EURUSD XAUUSD","1: H1","same chain as AUDCAD (BWD/SPR30/M0); EURUSD earlier PARKED-marginal at DD 42.06 (ORDER-046)","2.40 (BWD flat)","PARAMETRIC (symbol-specific) / STRUCTURAL DD","EA_SCORECARD_AND_REGISTRY.md","ORDER-036 survivors + ORDER-046"
"Oracle EA","EA","CONDITIONAL #3 - degrades in sequence (1.90->1.69->1.43), DD 39% at gate edge; must read trade list before any next step","2026-07-07","1: EURUSD","1: H1","BWD 1.90/DD36 -> SPR30 1.69/DD26.7 -> Model-0 1.43/+5776/DD39.0; lot x5.3->x8 on re-audit (near line)","1.90 (BWD)","n/a (conditional)","EA_SCORECARD_AND_REGISTRY.md + ORDER-036_MT4_MASS_SMOKE.md","survivors table + Round 3"
"EAForexTH_MultiHedge_1.0","EA","CONDITIONAL-weak (DD steady 20% every gate but PF ends 1.29, net $616/3yr) - low priority","2026-07-07","1: EURUSD","1: H1","BWD 1.61/DD20.3 -> SPR30 1.61/DD20.5 -> Model-0 1.29/+616/DD20.5; lot x1 flat","1.61","n/a (conditional)","EA_SCORECARD_AND_REGISTRY.md","ORDER-036 survivors"
"EAForexTH_Scalper_S3_1.0","EA","REJECT - tester-artifact confirmed two ways (spread-filter EA cannot be validated on MT4 fixed-spread tester)","2026-07-07","1: EURUSD","1: H1","BWD M1 PF 10.71 -> SPR30 = 0 trades (internal spread filter) -> Model-0 default-spread still PF 10.0/+74,586/DD4.4","10.71 (artifact)","artifact","EA_SCORECARD_AND_REGISTRY.md + ORDER-036 file","survivors table + Resurrect/Round3"
"Dark Venus","EA","AUTO-REJECT (double kill: spread reveals DD 17->51%; lot x10-15 doubling ladder)","2026-07-07","1 cell","1: H1","passed BWD 2.26/+2863/DD17.25 first, then SPR30: PF holds 2.18 but DD 51.43% + lot-check x10-15","2.26 (BWD)","STRUCTURAL (martingale)","ORDER-036_MT4_MASS_SMOKE.md","Round 4 VERDICTS"
"Dark Mimas","EA","REJECT permanent (BWD 0.45/-9540/DD96.38 = wipeout; recent 4mo PF5 was pure regime)","2026-07-07","1 cell","1: H1","BWD-OOS only; pattern repeat ~10th of this order","5.0 (4mo regime)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","b27 table"
"Z61","EA","AUTO-REJECT (lot x44-80; entries 107k-111k vs ~5k trades = heavy hidden basket; SPR30 degrades 1.65->1.34/DD30)","2026-07-07","2: EURUSD(1.65) USDJPY(0 trades window)","1: H1","BWD pass EU then SPR30 + full-window lot-check killed it; cross-symbol unverifiable","1.65 (BWD EU)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Z61 + Round 4"
"Yetti3_Mod2_newsWorking","EA","REJECT (dies at spread like its family: SPR30 1.02/+265)","2026-07-07","1 cell","1: H1","BWD 1.32/12,948t thin-pass -> SPR30 1.02; HFT family precedent","1.32","STRUCTURAL (spread-sensitive HFT)","ORDER-036_MT4_MASS_SMOKE.md","Round 4"
"Yetti3+NewsSherry","EA","REJECT (SPR30 0.97 kills; ORDER-046 Boost=1.0 probe revived BWD 1.44 but death cause = spread, unchanged)","2026-07-07","1 cell","1: H1","BWD 1.25/12,005t -> SPR30 0.97/-311; probe: boost-off PF 1.44/DD6.6 still spread-bound","1.44 (probe)","STRUCTURAL (spread)","ORDER-036 file + AGENT_TASKBOARD.md","Resurrect table + ORDER-046"
"2020v2","EA","REJECT permanent (double kill: SPR30 DD 65.43% + 3yr lot x14.5) - after one false-REJECT and one false-revive on lot-parse bugs","2026-07-07","2: EURUSD USDJPY","1: H1","BWD 2.26/314t/DD6.27 passed -> SPR30 PF 1.23 DD 65.43 + lot-check 3y x14.5","3.57 (4mo smoke)","STRUCTURAL (spread + ladder)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect sweep + batch05"
"Automated Forex Grail","EA","REJECT permanent (SPR30 PF 0.62 net -9,920 DD 99.2% - collapses at 3-pip spread)","2026-07-07","1 cell","1: H1","BWD 1.53/1063t/DD33 passed -> spread-stress wipeout; lot x1 flat (not a ladder problem)","1.53 (BWD)","STRUCTURAL (spread)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect sweep"
"FZ2","EA","REJECT permanent - flat-lot probe proves NO edge under martingale (empirical confirmation of structural gate)","2026-07-07","1 cell","1: H1","ORDER-046 probe multiplier=0/MM=0: PF 0.36/-9884/DD99.1 (ladder x2.3 gone = set works); baseline BWD 3.05/+9855/DD4.77 was recovery mechanics; lot x18.6 on 3y","3.05 (recovery illusion)","STRUCTURAL","AGENT_TASKBOARD.md + ORDER-036 file","ORDER-046 + Resurrect table"
"walid Ema","EA","REJECT permanent (BWD 0.96/-1486/DD35.8 = 2023-26 numbers were pure regime; USDJPY 0 trades)","2026-07-07","2: EURUSD USDJPY","1: H1","BWD-OOS only; lot x1 flat; smoke was PF 1.14-1.19 consistent 2 symbols","1.19 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 20-21"
"TradePad_Current_Timeframe","EA","REJECT (BWD 0.90/-796/DD9.83 - recent net was regime luck)","2026-07-07","1: EURUSD (USDJPY-side worthless)","1: H1","BWD retry after interrupt; lot x1 flat","1.43 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"VisualMartiEA","EA","PARKED-unverifiable (NO_REPORT twice on 2020-22 - technical block, not REJECT; low priority)","2026-07-07","1 cell","1: H1","untestable in BWD window x2 attempts; lot x5 (name says Marti, ladder is real x5)","2.74 (smoke)","unknown (unverifiable)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"Expert","EA","REJECT (SPR30 0.59/-9914/DD99.24 - thin PF 1.11 left no margin for real spread)","2026-07-07","1 cell","1: H1","BWD 1.11/+12904/DD31.6 -> spread-stress wipeout; lot x2","1.26 (smoke)","STRUCTURAL (spread)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"SUPERTRENDSURFER","EA","REJECT permanent (BWD 0.96/DD87.2; lot x416 on full-row re-audit)","2026-07-07","1 cell","1: H1","BWD-OOS + lot-check; smoke 1.54/+3820 was regime","1.54 (smoke)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table + re-verify 07-10"
"Envelope 2","EA","REJECT - regime EA (BWD 0.98/-367/DD43.9)","2026-07-07","2 cells","1: H1","BWD-OOS only; lot x2; smoke 1.5-1.61","1.61 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"MACrossoverMaster","EA","REJECT - regime EA (BWD 0.97/-2230/DD39.1)","2026-07-07","1 cell","1: H1","BWD-OOS only; lot x1 flat; smoke 1.43/+2537","1.43 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"ema_crossmod","EA","REJECT permanent (BWD 0.56/-9705/DD98.6)","2026-07-07","2: EURUSD (JP 0.26 regime-flag)","1: H1","BWD-OOS only; lot x1.5; smoke 1.78/+4542","1.78 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"EA SCALP RENKO v2.3","EA","REJECT permanent (BWD 0.96/-9938/DD99.4)","2026-07-07","2 cells","1: H1","BWD-OOS only; lot x1; smoke 1.3-1.48","1.48 (smoke)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"MA_MA_2-35_EA","EA","REJECT (BWD 0.80/-3529/DD39.5)","2026-07-07","1 cell","1: H1","BWD-OOS only; lot x1; weak smoke 1.17","1.17 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"firebird v63f","EA","REJECT (BWD 0.87/-2339/DD29.2)","2026-07-07","1 cell","1: H1","BWD-OOS only; lot x1; weakest smoke 1.15","1.15 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table"
"Moving Average","EA","REJECT (BWD 0.81/-3057/DD41.9; lot x2 clean on re-parse)","2026-07-07","1 cell","1: H1","BWD-OOS only; smoke 1.66/+737","1.66 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table + 07-10 re-verify"
"143 E4.7.4 v1","EA","REJECT permanent (BWD 0.85/-7810/DD94.4; PF 3.0 in 2023-26 = pure regime; lot x9.8 near line)","2026-07-07","1: EURUSD","1: H1","BWD-OOS + lot-check; smoke PF 3.0/net$2016/522t/DD9.03","3.0 (smoke)","artifact (regime)","ORDER-036_MT4_MASS_SMOKE.md","b23 row + Resurrect table"
"Phoenix_EA_v5_6_03 / GBPJPY1H90PCWR / killer_sell / GridMACDMEURUSD","EA","PARKED-no-data (0 trades in BWD window, all USDJPY-homed) - undecidable","2026-07-07","1: USDJPY","1: H1","BWD window empty; smokes: Phoenix 2.93, GBPJPY1H90PCWR PF 8.15/+71k absurd-flag (flat 1 lot), killer_sell 1.69, GridMACDM 1.12","8.15 (GBPJPY1H90PCWR absurd-flag)","unknown (no data)","ORDER-036_MT4_MASS_SMOKE.md","Resurrect table + lot-check audit"
"SEMIS.jr family x4 (212-AUDCAD/213-CHFJPY/214-GBPJPY/215-USDJPY)","EA","REJECT permanent (BWD DD 96-99% all four; same-engine artifact suspicion confirmed)","2026-07-07","2: EURUSD USDJPY (broker lacks named pairs - all tested same pairs)","1: H1","BWD-OOS killed all 4 (PF 0.05-0.65); smoke PF 2.6-2.83 near-identical across 4 names = one engine; lot re-audit x20.6->x103","2.83 (smoke artifact)","artifact + STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 05"
"DanceT","EA","REJECT permanent (BWD 0.09/-10293/DD102.8 wipeout; 1.53 in 2023-26 = regime)","2026-07-06","1: EURUSD","1: H1","BWD-OOS only","1.53 (smoke)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 02-03"
"Flexy The Dragon v2.8","EA","REJECT permanent (BWD 0.46/-8748/DD89.2)","2026-07-06","1: EURUSD","1: H1","BWD-OOS only; lot x10.3 on re-parse (independent second kill)","(sub-1 BWD)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 02-03"
"12431_Happy Fast Money","EA","REJECT permanent (BWD 0.24/-9890/DD99.1; tight-TP suspect confirmed)","2026-07-06","1: EURUSD","1: H1","BWD-OOS only","(tight-TP artifact)","artifact + STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 02-03"
"Happy thaipop","EA","PARKED-resize-first -> upgraded to REJECT (lot-check audit: x16.3 real escalation + DD 73%)","2026-07-07","1: EURUSD","1: H1","BWD 1.25/+2470/DD73.2 (PF>1 both regimes but thin edge); lot-check audit flipped verdict","1.25 (BWD)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","batch 02-03 + Lot-check AUDIT"
"CommunityPower 2.58.3","EA","REJECT-as-configured (martingale x1.5 uncapped ~16 layers 0.10->48.6 lots, SL=0; capped-config re-validation possible future, low priority)","2026-07-06","1: EURUSD","1: H1","BWD 1.91/+40573/DD74.1 both-regime PF>1 = recovery mechanics not edge; trade-list read decisive","1.91 (BWD)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 02-03"
"1 MINUTE SCALPER","EA","PARKED-no-data (0 trades in window, possibly time-gated; not worth chasing)","2026-07-06","1: USDJPY","1: H1","BWD window empty","n/a","unknown (no data)","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 02-03"
"AF-Global Expert Unlimited","EA","AUTO-REJECT (lot 0.01->94.86 = x9,486; BWD DD 48.76 consistent with escalation)","2026-07-07","1 cell","1: H1","BWD 1.57/14591t + full-file lot-escalation check","1.57 (BWD)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 10"
"BB SWING","EA","PARKED-no-data (USDJPY 0 trades in 2020-22)","2026-07-07","1: USDJPY","1: H1","BWD window empty","n/a","unknown (no data)","ORDER-036_MT4_MASS_SMOKE.md","Triage batch 10"
"ORDER-036 batch 10-19 lot-check kill pool (~45 Tier A: Take Profit, TSR-2018, Ilan x2, FoldXEA x625, HedgeMadness x256, GoldenProfit x69, Budak Ubat, CrawlingGrid, Fibo, EA-Martin, Fxs, GridMaster_fixed, Lenhune, Mm2019, rbt, Scalping Strategy System +more)","EA","AUTO-REJECT (lot-escalation >=10x; ratios x11 to x9,486 verified on Size column after audit)","2026-07-07","2: EURUSD USDJPY (test-lane pairs)","1: H1","lot-check(Size-col) only - default params, no BWD run needed, no optimize; 07-10 striping-bug re-verify: all 58 verdict-bearing reports re-run, every verdict stands","(various, all structural)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","batches 10-19 + Lot-check AUDIT + 07-10 re-verify"
"ORDER-036 batch 24-27 kill pool (EABOT2.3/2.5, Z26/Z27/Z30/Z46/Z47/Z52/Z57, Bonnitta, EA FREEDOM PRO, EA-HOKKYDJONG, Yetti Pro x2, Grid Custom, New Sure Fire Hedging x64, Scalping XTendFX x32-256, SL=2GRIDE NEW cross-symbol, Nong Tom, Bistion_v12, SkyFX_fix +DQ names)","EA","REJECT / DQ (lot-check x10-x642, name-DQ '_fix', cross-symbol instability)","2026-07-07","2: EURUSD USDJPY","1: H1","lot-check + smoke-table triage only; no optimize","1.86 (SL=2GRIDE NEW EU)","STRUCTURAL","ORDER-036_MT4_MASS_SMOKE.md","batch rows 24-27"
"ORDER-036 mass pool remainder (1,318 ex4 -> ~110 Tier A -> 2 survivors; ~1,150 died at smoke/0-trade gate)","EA","REJECT at smoke gate ('noise/no edge - NOT DEAD' per Tier spec) or skip/0-trade","2026-07-07","2: EURUSD USDJPY (+exact-history caveat)","1: H1 (compiled default)","M1 4-month smoke default params only - one symbol-pair, one TF, zero levers; this is the biggest under-swept pool by count","(sub-gate)","unknown (default-only)","ORDER-036_MT4_MASS_SMOKE.md","FINAL TALLY + status table"
"ORDER-036 PARKED-worthless pool (gods gift, STARTUP, Simple2020/Inverse, Robot FX Saturn, Forex Tramp, FX Sniper, Two_MA_Cross, PumLot, Turbo-profit +similar)","EA","PARKED-worthless/marginal (net ~$0-60, not worth chasing)","2026-07-07","2: EURUSD USDJPY","1: H1","smoke only; some had lot-parse false-rejects corrected but net too small to matter","(net near zero)","unknown (default-only)","ORDER-036_MT4_MASS_SMOKE.md","Lot-check AUDIT + batch rows"
"(BRK)_SqueezeBRK (XAU)","EA","ROBUST - demo cohort (funnel complete)","2026-07-08","1: XAUUSD","1: H1","full funnel instrument/TF/param/holdout/MC; rescue arc documented 0.837 -> 0.966 -> 1.25 (confluence + tight-SL/wide-TP re-opt); MC PF-5th 1.241 ungated; COT year-split 2021-22 LOW profitable 4.88/2.03","1.25 (MC-backed funnel)","n/a (pass)","AGENT_TASKBOARD.md (+PROJECT_STATE 07-08)","referenced in ORDER-059/065 + demo cohort"
