> ORDER-164 Full Parameter Registry - ea_template/core/Inputs.mqh
> Snapshot commit: 733c1db76ea3bcb8e99b7604ee97fe2724459bf9 (last commit touching Inputs.mqh as of registry build; committed 2026-07-23T08:21:21+07:00)
> Registry built: 2026-07-23 (Sonnet, per AGENT_TASKBOARD.md ORDER-164)
> Row count: 183 real inputs = 183/183 COMPLETE as of PARAM-SYNC-004 (2026-07-24). Verify with: compare the identifiers from lines matching '^input ' minus 'input group' in ea_template/core/Inputs.mqh against this file's name column with any [LAB_ENTRY_nn] suffix stripped - the diff must be empty both ways.
> PARAM-SYNC-004 (2026-07-24, Fable-seat): the ORDER-161 moving-target gap is CLOSED. Appended the 6 rows that were deliberately excluded from the ORDER-164 snapshot (_43_LotPerAnchor, _43_BalanceAnchor, _2_BasketTP_BalPct, _32_SL_BalPct, _57_DynCloseBalPct, _8_DDRefBalPct - they live at the END of this file, not in category order) and rewrote the FirstLotMode / _41_FixedLot / _42_RiskPct rows, whose "silently falls back to _41_FixedLot" wording described behavior that MM-SAFETY-001 deleted on the same day. Inputs.mqh line numbers in the 3 rewritten rows + the 6 new rows are from the WORKING TREE at 2026-07-24; the other ~174 rows still cite the ORDER-164 pinned commit and have drifted by ~16 lines.
> Methodology: every owner / active_when / coupled_parameters / causal_question cell was traced by reading the actual code in ea_template/core/*.mqh and ea_template/core/entries/*.mqh at the pinned commit (the 4 files a concurrent session has modified in the working tree - ExitManager.mqh, MoneyManagement.mqh, Recovery.mqh, Inputs.mqh - were re-extracted from git at the same pinned hash so this registry is internally consistent to one commit). Nothing here is inferred from the inline Inputs.mqh comment alone; comments were cross-checked against the switch/if logic that actually reads each identifier. A full-corpus grep pass (177 unique identifiers) was run to confirm none are zero-usage outside their declaration.
> default_profile / optimize_stage / safe_range are UNKNOWN unless a citable source is named in the cell itself (an order, a scorecard row, a doc, or an explicit code clamp). No value in those 3 columns was guessed - see CLAUDE.md hard rule + ORDER-164 "forbidden" list.
> Classification legend: ACTIVE = has real, reachable effect in the current code. INACTIVE = declared but never read, or read only behind a condition that is permanently false for that build. OVERRIDE = supersedes another named input under some condition. COMPATIBILITY = kept only for old .set file compatibility, not meant to be tuned (none found in this codebase - see summary note at end of file).
> SELF-CHECK (required by ORDER-164 spec): RecoveryMode values 82 (REC_ADAPTIVE) and 83 (REC_AGGRESSIVE) are classified ACTIVE below, tagged ENGINE-EDGE. Traced directly to Recovery.mqh:46-69 (pinned snapshot) - Recovery_AddLot() has real case-branch logic for both (82 = DD-scaled multiplier vs _8_DDRefMoney, clamped by RC_RecMultMax; 83 = geometric MathPow(m,rstep) escalation, clamped by RC_RecMultMax), with no early-return gate blocking either branch. The old "(stub)" / "(stub, gated)" labels were factually wrong and were corrected in ORDER-160 (comment-only fix, committed in this same pinned hash 733c1db7). This matches the finding trail in _triage/ORDER158_RECOVERY_STUB_LABEL_FINDING.md.
name,owner,unit,context,active_when,coupled_parameters,default_profile,optimize_stage,safe_range,causal_question,classification,classification_note
"_14_MinDistPips","entries/Entry_GridLog.mqh (Entry_GridLog_DistPrice, via Entry_GridLog_PipSize() - digit-aware)","pips (digit-aware)","entry","build 14 only","_14_DistAtrMult","20.0 - Inputs.mqh:225","UNKNOWN","UNKNOWN","Pip floor under the ATR-derived arm distance.","ACTIVE",""
"_15_MacdFast","entries/Entry_ST03.mqh; Indicators.mqh (iMACD handle, LAB_ENTRY_15 only)","bars (EMA period)","entry","build 15 only","_15_MacdSlow; _15_MacdSignal","12 - Inputs.mqh:230","UNKNOWN","UNKNOWN","MACD fast EMA period for the ST03 consecutive-count signal.","ACTIVE",""
"_15_MacdSlow","entries/Entry_ST03.mqh; Indicators.mqh","bars (EMA period)","entry","build 15 only","_15_MacdFast; _15_MacdSignal","26 - Inputs.mqh:231","UNKNOWN","UNKNOWN","MACD slow EMA period.","ACTIVE",""
"_15_MacdSignal","entries/Entry_ST03.mqh; Indicators.mqh","bars (SMA period)","entry","build 15 only","_15_MacdFast; _15_MacdSlow","9 - Inputs.mqh:232","UNKNOWN","UNKNOWN","MACD signal-line SMA period.","ACTIVE",""
"_15_CountBars","entries/Entry_ST03.mqh","bars (consecutive closed bars)","entry","build 15 only","_15_EdgeTrigger; _15_RearmBars","2 - Inputs.mqh:233","UNKNOWN","UNKNOWN","Number of consecutive closed bars the MACD main/signal relationship must hold in one direction before the signal fires.","ACTIVE",""
"_15_EdgeTrigger","entries/Entry_ST03.mqh","bool","entry","build 15 only","_15_CountBars; _15_RearmBars(only relevant when EdgeTrigger=true)","true - Inputs.mqh:234","UNKNOWN","UNKNOWN","true=fire once per MACD-state run (edge latch); false=fire every bar the count condition holds (level mode, documented to over-trade 571 vs 36 trades in the source port).","ACTIVE",""
"_15_RearmBars","entries/Entry_ST03.mqh","bars","entry","build 15 only, AND _15_EdgeTrigger=true (else this is never consulted)","_15_EdgeTrigger","0 (pure edge, never re-fires within a run) - Inputs.mqh:235","UNKNOWN","UNKNOWN","Re-fire cadence (in bars) within an already-latched MACD-state run; 0 = never re-fire until the state flips.","ACTIVE",""
"_16_Direction","entries/Entry_KangarooRSI.mqh; entries/Kangaroo.mqh (Kangaroo_Dir)","enum-like int (1=BUY,2=SELL)","entry","build 16 only","none - fixed-direction instance","1 - Inputs.mqh:244","UNKNOWN","UNKNOWN","Fixes this Kangaroo instance to BUY-only or SELL-only.","ACTIVE",""
"_16_RsiPeriod","entries/Entry_KangarooRSI.mqh; Indicators.mqh (g_hRSI16, LAB_ENTRY_16 only)","bars","entry","build 16 only","_16_RsiLow; _16_RsiHigh","14 - Inputs.mqh:245","UNKNOWN","UNKNOWN","RSI period for the Kangaroo fade entry (own handle, chart TF).","ACTIVE",""
"_16_RsiLow","entries/Entry_KangarooRSI.mqh","RSI level (0-100)","entry","build 16 only, direction 1 instance","_16_RsiPeriod","30.0 - Inputs.mqh:246","UNKNOWN","UNKNOWN","BUY-instance arms when last-closed-bar RSI is below this.","ACTIVE",""
"_16_RsiHigh","entries/Entry_KangarooRSI.mqh","RSI level (0-100)","entry","build 16 only, direction 2 instance","_16_RsiPeriod","70.0 - Inputs.mqh:247","UNKNOWN","UNKNOWN","SELL-instance arms when last-closed-bar RSI is above this.","ACTIVE",""
"_16_AtrMultFirst4","entries/Kangaroo.mqh (Kangaroo_StepPrice)","ATR-multiple","stack","build 16 only, AND have<4 open on this side","_16_AtrMultAfter; _16_MinDistPips(floor)","0.8 - Inputs.mqh:249","UNKNOWN","UNKNOWN","Grid spacing multiplier on Signal-ATR while fewer than 4 orders are open on the side (original: 200 fixed pips).","ACTIVE",""
"_16_AtrMultAfter","entries/Kangaroo.mqh","ATR-multiple","stack","build 16 only, AND have>=4 open on this side","_16_AtrMultFirst4; _16_MinDistPips","1.4 - Inputs.mqh:250","UNKNOWN","UNKNOWN","Wider grid spacing multiplier from the 5th order on (original: 350 fixed pips).","ACTIVE",""
"_16_MinDistPips","entries/Kangaroo.mqh (Kangaroo_StepPrice, via Kangaroo_PipSize() - digit-aware)","pips (digit-aware)","stack","build 16 only","_16_AtrMultFirst4; _16_AtrMultAfter","150.0 - Inputs.mqh:251","UNKNOWN","UNKNOWN","Pip floor under the ATR-derived grid spacing.","ACTIVE",""
"_16_MaxOrdersPerSide","entries/Kangaroo.mqh (Kangaroo_TryAdd)","count (orders)","stack","build 16 only","RC_MaxLot/RiskControl_AllowNewOrder(deposit-load cage still applies on top)","10 - Inputs.mqh:252","UNKNOWN","UNKNOWN","Hard cap on grid adds per side (original advertised 10 but reportedly leaked to 14 in the source).","ACTIVE",""
"_16_BaseLot","entries/Kangaroo.mqh (Kangaroo_NextLot)","lots","mm","build 16 only","_16_LadderMult(gates whether this stays flat); _16_MaxLotPerOrder; RC_MaxLot(final cage clamp)","0.01 - Inputs.mqh:264","UNKNOWN","UNKNOWN","Flat lot used for every order while _16_LadderMult<=1.0 (probe finding cited in the inline comment: flat-lot beat the x1.5 ladder, PF 5.71 vs 4.86).","ACTIVE",""
"_16_LadderMult","entries/Kangaroo.mqh","multiplier","mm","build 16 only, AND have>=4","_16_BaseLot; _16_MaxLotPerOrder","1.0 (flat, ladder off) - Inputs.mqh:265","UNKNOWN","UNKNOWN",">1.0 enables a capped ladder: order N = current max open lot x this multiplier; the first 4 orders on a side are always _16_BaseLot.","ACTIVE",""
"_16_MaxLotPerOrder","entries/Kangaroo.mqh (Kangaroo_NextLot)","lots","mm","build 16 only, AND _16_LadderMult>1.0","_16_LadderMult; RC_MaxLot(clamps after this)","1.0 - Inputs.mqh:266","UNKNOWN","UNKNOWN","Per-order lot ceiling for the ladder (original 'Max_Lot_Martingale'); RC_MaxLot still clamps after this.","ACTIVE",""
"_16_SlAtrMult","entries/Kangaroo.mqh (Kangaroo_SLDist)","ATR-multiple (Risk-ATR)","exit","build 16 only","_16_MaxSlPips(hard ceiling)","18.0 - Inputs.mqh:268","UNKNOWN","UNKNOWN","Per-order broker SL distance as a multiple of Risk-ATR (~$90 at gold-1800-era ATR per the inline comment).","ACTIVE",""
"_16_MaxSlPips","entries/Kangaroo.mqh (Kangaroo_SLDist, via Kangaroo_PipSize() - digit-aware)","pips (digit-aware; 0=off)","exit","build 16 only, AND this value >0","_16_SlAtrMult","9000.0 (~$90 on XAU 2-digit) - Inputs.mqh:269","UNKNOWN","UNKNOWN","Hard pip ceiling on the per-order SL distance regardless of ATR.","ACTIVE",""
"_16_TpSingleAtrMult","entries/Kangaroo.mqh (Kangaroo_SingleTPHit)","ATR-multiple (Risk-ATR)","exit","build 16 only, AND exactly 1 order open on the side","none direct","0.35 - Inputs.mqh:270","UNKNOWN","UNKNOWN","Managed (not broker) TP distance for a lone open order, as a multiple of Risk-ATR (~80 gold pips at ATR~$2.3).","ACTIVE",""
"_16_BasketTpUsdPer01","entries/Kangaroo.mqh (Kangaroo_ManageExits)","USD per 0.01 lot","exit","build 16 only, AND have>=2 AND this value >0","Exec_TotalLots()","16.0 - Inputs.mqh:271","UNKNOWN","UNKNOWN","Dollar-true basket TP: close the whole side once net$ >= this x (total lots / 0.01) - replaces the original's unweighted pip-sum-160 defect.","ACTIVE",""
"_16_OverlapMinUsd","entries/Kangaroo.mqh","USD","exit","build 16 only, AND have >= _16_OverlapMinOrders","_16_OverlapMinOrders","5.0 - Inputs.mqh:272","UNKNOWN","UNKNOWN","Minimum combined net-$ of the newest+oldest position pair required to trigger an overlap pair-close.","ACTIVE",""
"_16_OverlapMinOrders","entries/Kangaroo.mqh","count (orders)","exit","build 16 only","_16_OverlapMinUsd","4 - Inputs.mqh:273","UNKNOWN","UNKNOWN","Minimum open-order count before the overlap pair-close exit becomes active at all.","ACTIVE",""
"_16_FlattenOn","entries/Kangaroo.mqh (Kangaroo_ManageExits)","bool","exit","build 16 only","_16_FlattenMinOrders; _16_MaxControlledLossUsd","false (off) - Inputs.mqh:274","UNKNOWN","UNKNOWN","Enables the 'ladder_flatten' controlled-loss release exit (A/B module, default OFF per ORDER-072 decision 5).","ACTIVE",""
"_16_FlattenMinOrders","entries/Kangaroo.mqh","count (orders)","exit","build 16 only, AND _16_FlattenOn=true","_16_FlattenOn; _16_MaxControlledLossUsd","6 - Inputs.mqh:275","UNKNOWN","UNKNOWN","Minimum open-order count before ladder_flatten can fire.","ACTIVE",""
"_16_MaxControlledLossUsd","entries/Kangaroo.mqh","USD (negative threshold)","exit","build 16 only, AND _16_FlattenOn=true AND have>=_16_FlattenMinOrders","_16_FlattenOn; _16_FlattenMinOrders","400.0 - Inputs.mqh:276","UNKNOWN","UNKNOWN","Close-all-side threshold: fires once net$ >= -this (a bounded, accepted loss release rather than letting the ladder run unbounded).","ACTIVE",""
"_16_EmergencyDDPct","entries/Kangaroo.mqh (Kangaroo_OnTick, step 1b)","% (equity DD from peak)","safety","build 16 only, AND this value >0 AND at least one order is open","RiskControl_CurrentDDPct(); ProtectLevel's RC_KillDDPct() usually fires first at default profile (25% < 70%)","70.0 (tighter than the original's unverified 80%) - Inputs.mqh:277","UNKNOWN","UNKNOWN","Emergency close-all-basket threshold on equity DD% from peak; a backstop below the cage's own KillDD for loosened-cage configurations.","ACTIVE",""
"_17_FractalDepth","entries/Wave5Swings.mqh (Wave5_IsFractalHigh/Low); entries/Entry_Wave5.mqh (Wave5_CollectSwings)","bars (each side)","entry","build 17 only","_17_MaxSwings","3 - Inputs.mqh:288","UNKNOWN","UNKNOWN","Confirmed-fractal bars required on each side of a pivot before it counts as a swing (repaint guard: newest usable pivot is always this many bars back).","ACTIVE",""
"_17_Wave3MinMult","entries/Entry_Wave5.mqh","multiple of wave1 length","entry","build 17 only","implicit: wave1 length itself, derived from the swing data","0.618 - Inputs.mqh:289 (permissive default per inline comment, 'Fable D2')","UNKNOWN","UNKNOWN","Minimum multiple of |wave1| that wave3 must break beyond wave1's end for the 1-2-3 structure to confirm.","ACTIVE",""
"_17_EntryFib","entries/Entry_Wave5.mqh","% retracement of wave3","entry","build 17 only","_17_SLbufferATR(SL placement is independent, anchored on wave1, not this fib level)","38.2 - Inputs.mqh:290 (inline comment lists a sweep set {23.6,38.2,50,61.8})","UNKNOWN","UNKNOWN","Wave-4 retrace zone arm level, as % retrace of the full wave-3 length.","ACTIVE",""
"_17_SLbufferATR","entries/Entry_Wave5.mqh","ATR-multiple (Risk-ATR)","exit","build 17 only","_17_UseStructLevels(must be true for this SL to actually be applied)","0.5 - Inputs.mqh:291","UNKNOWN","UNKNOWN","Buffer beyond the wave-1 top/bottom (in Risk-ATR multiples) added to the structural SL to absorb spread/wick.","ACTIVE",""
"_17_UseStructLevels","ExitManager.mqh (Exit_SLDistancePoints guard G3, Exit_InitialSL guard G2, Exit_InitialTP guard G2)","bool","exit","build 17 only","g_wave5_sl_price/g_wave5_tp_price/g_wave5_entry_ref (published by Entry_Wave5.mqh); when false, ExitManager falls back to the normal SLMode/ExitMode switch","true - Inputs.mqh:292","UNKNOWN","UNKNOWN","When true, ExitManager uses the published structural SL/TP anchors from the wave signal instead of the generic SLMode/ExitMode switch.","OVERRIDE","supersedes SLMode and ExitMode's per-order SL/TP output for build 17 when true and a valid structural SL exists"
"_17_DivergTrail","ExitManager.mqh (Wave5_DivergenceTightenHook)","bool","exit","build 17 only, AND ExitMode==EXIT_TRAIL (only call site is inside 'if(ExitMode==EXIT_TRAIL) Wave5_DivergenceTightenHook();')","_23_TrailStep(tighten distance is a fraction of this); ExitMode","true - Inputs.mqh:293","UNKNOWN","UNKNOWN","Tightens the trail on RSI divergence once price reaches the wave5 target zone; inert unless ExitMode is set to trailing.","ACTIVE","inert at the global default ExitMode=EXIT_ATR_TP(22); only live when a .set sets ExitMode=23 for this build"
"_17_MaxSwings","entries/Wave5Swings.mqh (Wave5_CollectSwings)","count (pivots)","entry","build 17 only","_17_FractalDepth","8 - Inputs.mqh:294","UNKNOWN","UNKNOWN","Maximum confirmed pivots collected per evaluation call (needs >=4 for a valid 1-2-3 structure).","ACTIVE",""
"_17_RSI_Period","ExitManager.mqh (Wave5_DivergenceDetected via Indi_RSI17); Indicators.mqh (g_hRSI17, LAB_ENTRY_17 only)","bars","exit","build 17 only, AND _17_DivergTrail=true AND ExitMode==EXIT_TRAIL","_17_DivergTrail","14 - Inputs.mqh:295","UNKNOWN","UNKNOWN","RSI period used only for the divergence check (own handle, independent of the shared/BB/16 RSI handles).","ACTIVE",""
"_18_Direction","entries/Entry_JumStoch.mqh","enum-like int (1=BUY,2=SELL)","entry","build 18 only","none - fixed-direction instance","1 - Inputs.mqh:300","UNKNOWN","UNKNOWN","Fixes this JumStoch instance to BUY-only or SELL-only.","ACTIVE",""
"_18_DirMode","entries/Entry_JumStoch.mqh","enum-like int (1/2)","entry","build 18 only","_18_LoLevel; _18_UpLevel(same thresholds, mirrored role)","1 (FAITHFUL momentum-join) - Inputs.mqh:301","UNKNOWN","UNKNOWN","Selects between two exact BUY/SELL mirror readings of the same LWMA+Stoch signal: 1=momentum-join (validated source mapping, EURUSD-H1 PF1.18 baseline), 2=reversion (Lane-A brief as written) - the lab has not settled which is correct, both are A/B'd.","ACTIVE",""
"_18_MaPeriod","entries/Entry_JumStoch.mqh; Indicators.mqh (g_hLWMA18)","bars (LWMA period)","entry","build 18 only","none","25 - Inputs.mqh:302 (source maPereode=25)","UNKNOWN","UNKNOWN","LWMA period for the displacement reference line.","ACTIVE",""
"_18_KPeriod","entries/Entry_JumStoch.mqh; Indicators.mqh (g_hStoch18)","bars (Stoch %K)","entry","build 18 only","_18_DPeriod; _18_Slowing","32 - Inputs.mqh:303 (source kperiod=32)","UNKNOWN","UNKNOWN","Stochastic %K period.","ACTIVE",""
"_18_DPeriod","entries/Entry_JumStoch.mqh; Indicators.mqh","bars (Stoch %D)","entry","build 18 only","_18_KPeriod; _18_Slowing","12 - Inputs.mqh:304 (source dperiod=12)","UNKNOWN","UNKNOWN","Stochastic %D period.","ACTIVE",""
"_18_Slowing","entries/Entry_JumStoch.mqh; Indicators.mqh","bars (Stoch slowing)","entry","build 18 only","_18_KPeriod; _18_DPeriod","12 - Inputs.mqh:305 (source slowing=12)","UNKNOWN","UNKNOWN","Stochastic slowing period.","ACTIVE",""
"_18_LoLevel","entries/Entry_JumStoch.mqh","Stoch level (0-100)","entry","build 18 only","_18_DirMode(role flips between modes)","25.0 - Inputs.mqh:306 (source lo_level=25)","UNKNOWN","UNKNOWN","Lower Stochastic band used by both DirMode readings (role differs: oversold-confirm in mode1, oversold-reject in mode2).","ACTIVE",""
"_18_UpLevel","entries/Entry_JumStoch.mqh","Stoch level (0-100)","entry","build 18 only","_18_DirMode","75.0 - Inputs.mqh:307 (source up_level=75)","UNKNOWN","UNKNOWN","Upper Stochastic band used by both DirMode readings.","ACTIVE",""
"_0_FastMA","Indicators.mqh (g_hFastMA, built unconditionally in Indi_Init for every build)","bars (MA period)","entry/exit/filter (shared)","always computed; functionally used by: build 11's entry signal (Entry_GridTrendMA.mqh), ExitMode==EXIT_RUN_TREND(24) on any build, TrendFilter==TFILTER_MA_SLOPE(72) on builds 11/12/13 (via Indi_MA_IsSloping which reads Indi_FastMA)","_0_SlowMA; _0_MAMethod; _0_MA_TF","20 - Inputs.mqh:312","UNKNOWN","UNKNOWN","Fast MA period, shared across the GridTrendMA entry signal, the RunTrend exit, and the MA-slope filter.","ACTIVE",""
"_0_SlowMA","Indicators.mqh (g_hSlowMA)","bars (MA period)","entry/exit (shared)","always computed; used by build 11's entry signal and ExitMode==EXIT_RUN_TREND(24) on any build","_0_FastMA; _0_MAMethod; _0_MA_TF","50 - Inputs.mqh:313","UNKNOWN","UNKNOWN","Slow MA period, shared across the GridTrendMA entry signal and the RunTrend exit.","ACTIVE",""
"_0_MAMethod","Indicators.mqh (g_hFastMA/g_hSlowMA handles)","enum (ENUM_MA_METHOD)","entry/exit (shared)","always computed, wherever _0_FastMA/_0_SlowMA matter","_0_FastMA; _0_SlowMA","MODE_EMA - Inputs.mqh:314","UNKNOWN","UNKNOWN","MA smoothing method (SMA/EMA/SMMA/LWMA) shared by both the fast and slow trend MA handles.","ACTIVE",""
"_0_MA_TF","Indicators.mqh (Indi_TF(_0_MA_TF))","timeframe","entry/exit (shared)","always computed","_0_FastMA; _0_SlowMA","PERIOD_CURRENT - Inputs.mqh:315","UNKNOWN","UNKNOWN","Timeframe the shared trend MA is computed on (PERIOD_CURRENT = chart TF).","ACTIVE",""
"_71_ATRMA","Indicators.mqh (Indi_ATR_IsExpanding, called from entries 11/12/13)","bars (ATR SMA period)","entry filter","builds 11/12/13 only, AND TrendFilter==TFILTER_ATR_EXPAND(71)","_71_ATRRatio","20 - Inputs.mqh:319","UNKNOWN","UNKNOWN","Smoothing period for the ATR moving average the expansion filter compares against.","ACTIVE",""
"_71_ATRRatio","Indicators.mqh (Indi_ATR_IsExpanding)","ratio","entry filter","builds 11/12/13 only, AND TrendFilter==71","_71_ATRMA","1.0 - Inputs.mqh:320","UNKNOWN","UNKNOWN","Minimum ratio of current ATR to its moving average required to consider volatility 'expanding'.","ACTIVE",""
"_72_SlopeBar","Indicators.mqh (Indi_MA_IsSloping, called from entries 11/12/13)","bars back","entry filter","builds 11/12/13 only, AND TrendFilter==TFILTER_MA_SLOPE(72)","_0_FastMA","3 - Inputs.mqh:321","UNKNOWN","UNKNOWN","Bars back the fast-MA slope is measured over.","ACTIVE",""
"_50_RegimeMode","Regime.mqh (Regime_Enabled, Regime_BlocksFlatEntry, Regime_AllowsEntryDirection)","enum-like int (0/1/2)","entry filter (regime)","always checked (0 = off, fully inert)","_50_AllowTrendUp/Down/Range(mode1 only); everything else in this section","0 (off) - Inputs.mqh:325","UNKNOWN","UNKNOWN","0=off, 1=filter mode (block disallowed states from taking any new first-entry), 2=direction mode (force entry direction to match the regime, block range entirely).","ACTIVE",""
"_50_AllowTrendUp","Regime.mqh","bool","entry filter (regime)","_50_RegimeMode==1 only (mode 2 ignores this)","_50_RegimeMode","true - Inputs.mqh:326","UNKNOWN","UNKNOWN","In filter mode, whether a TREND_UP regime is allowed to take a new first-entry.","ACTIVE",""
"_50_AllowTrendDown","Regime.mqh","bool","entry filter (regime)","_50_RegimeMode==1 only","_50_RegimeMode","true - Inputs.mqh:327","UNKNOWN","UNKNOWN","In filter mode, whether a TREND_DOWN regime is allowed to take a new first-entry.","ACTIVE",""
"_50_AllowRange","Regime.mqh","bool","entry filter (regime)","_50_RegimeMode==1 only","_50_RegimeMode","true - Inputs.mqh:328","UNKNOWN","UNKNOWN","In filter mode, whether a RANGE regime is allowed to take a new first-entry.","ACTIVE",""
"_50_Regime_TF","Regime.mqh (Regime_TF(), Regime_Init iADX/iATR handles)","timeframe","entry filter (regime)","_50_RegimeMode != 0","_50_ADX_Period","PERIOD_H4 - Inputs.mqh:329","UNKNOWN","UNKNOWN","Timeframe the ADX/ATR regime classification runs on (cached per bar on this TF).","ACTIVE",""
"_50_ADX_Period","Regime.mqh (Regime_Init: builds BOTH g_hRegimeADX and g_hRegimeATR with this same period - Regime_Init line 148-149)","bars","entry filter (regime)","_50_RegimeMode != 0","_50_Regime_TF; _50_ADX_TrendMin; _50_StormATRmult/_50_StormLookback(storm ATR handle shares this period too)","14 - Inputs.mqh:330","UNKNOWN","UNKNOWN","ADX period for trend/range classification - also silently reused as the ATR handle's period for the storm-detector (there is no separate regime-ATR-period input).","ACTIVE","quirk: one input drives two different indicator handles (ADX AND ATR) in Regime_Init"
"_50_ADX_TrendMin","Regime.mqh (Regime_ClassifyClosedBar)","ADX level","entry filter (regime)","_50_RegimeMode != 0","_50_ADX_Period","25.0 - Inputs.mqh:331","UNKNOWN","UNKNOWN","Minimum ADX value for the bar to be classified trending (else RANGE).","ACTIVE",""
"_50_StormATRmult","Regime.mqh (Regime_ClassifyClosedBar)","ATR-multiple (over its own SMA)","entry filter (regime)","_50_RegimeMode != 0, AND this value >0 (0 disables the storm overlay)","_50_StormLookback","2.0 - Inputs.mqh:332","UNKNOWN","UNKNOWN","ATR spike multiple (vs its own lookback SMA) that classifies the bar as STORM (blocks all new entries), overriding the trend/range read for that bar.","ACTIVE",""
"_50_StormLookback","Regime.mqh (Regime_ATR_SMA)","bars","entry filter (regime)","_50_RegimeMode != 0, AND _50_StormATRmult >0","_50_StormATRmult","100 - Inputs.mqh:333","UNKNOWN","UNKNOWN","Lookback window for the ATR SMA the storm spike is measured against.","ACTIVE",""
"_21_TP_Pip","ExitManager.mqh (Exit_InitialTP)","points (raw broker points despite the 'Pip' name - multiplied directly by Indi_Point(), no 3/5-digit pip adjustment)","exit","ExitMode==EXIT_FIXED_TP(21)","none direct","500 - Inputs.mqh:337","fine, single-instrument only - OPTIMIZE_GUIDE.md: pip-mode(21/31) reserved for fine-tune, ATR-mode(22/33) is the coarse default","UNKNOWN","Fixed take-profit distance in raw points for a single order.","ACTIVE","naming says 'Pip' but the code path applies zero digit/pip adjustment - it is really a points input"
"_22_TP_ATRmult","ExitManager.mqh (Exit_InitialTP, uses Exit_RiskATR_Scaled which is also affected by _33_AdaptiveON)","ATR-multiple (Risk-ATR)","exit","ExitMode==EXIT_ATR_TP(22)","_33_AdaptiveON/_33_AdaptiveN(both scale the underlying Risk-ATR this multiplies)","3.0 - Inputs.mqh:338","coarse - OPTIMIZE_GUIDE.md Plan A(0.5-1.5)/B(4-8)/D(3-5) coarse sweeps","UNKNOWN","Take-profit distance as a multiple of (optionally regime-adaptive) Risk-ATR.","ACTIVE",""
"_2_BasketTP_Money","ExitManager.mqh (Exit_BasketTargetMoney)","money (account currency)","exit","always the primary basket-TP target UNLESS _2_BasketTP_ATRmult>0 (which overrides it)","_2_BasketTP_ATRmult","0 (off) - Inputs.mqh:339","UNKNOWN","UNKNOWN","Fixed money target that closes the whole basket once floating profit reaches it.","ACTIVE","OVERRIDDEN by _2_BasketTP_ATRmult when that is >0, and by _2_BasketTP_BalPct when that is >0 (Exit_BasketTargetMoney checks BalPct first, then ATRmult, falling through to this only when both are 0)"
"_2_BasketTP_ATRmult","ExitManager.mqh (Exit_BasketTargetMoney)","ATR-multiple x lots, expressed in money","exit","this value >0","_2_BasketTP_Money(the input it supersedes)","0 (use fixed money) - Inputs.mqh:340","UNKNOWN","UNKNOWN","When >0, the basket TP target scales with current Risk-ATR and total open lots instead of a fixed number - portable across instruments with different price/tick-value scales.","OVERRIDE","supersedes _2_BasketTP_Money whenever this is set >0 (Exit_BasketTargetMoney checks this first); but this input is itself OVERRIDDEN by _2_BasketTP_BalPct when that is >0 (Exit_BasketTargetMoney checks BalPct before this)"
"_23_TrailStart","ExitManager.mqh (Exit_ApplyTrailing)","points (raw broker points - gain measured via (price-open)/Indi_Point(), no pip adjustment)","exit","ExitMode==EXIT_TRAIL(23)","_23_TrailStep","300 - Inputs.mqh:348","UNKNOWN","UNKNOWN","Minimum point gain before the trailing stop starts moving.","ACTIVE",""
"_23_TrailStep","ExitManager.mqh (Exit_ApplyTrailing, AND Wave5_TightenTrail on build17 which uses 0.25x this value regardless of _23_TrailStart)","points (raw broker points, no pip adjustment)","exit","ExitMode==EXIT_TRAIL(23); on build17, also read by the divergence-tighten hook whenever ExitMode==EXIT_TRAIL and _17_DivergTrail=true","_23_TrailStart; _17_DivergTrail(build17 only)","100 - Inputs.mqh:349","UNKNOWN","UNKNOWN","Trailing-stop distance behind price once trailing has started; also the base unit (x0.25) for build17's divergence tighten.","ACTIVE",""
"_2_PartialPct1","ExitManager.mqh (Exit_ManagePartialClose)","% of basket-TP target","exit","StackMode != STACK_PYRAMID(93) AND a basket target(_2_BasketTP_Money/ATRmult) is set >0 AND this value >0","_2_PartialFrac1; _2_BasketTP_Money/_2_BasketTP_ATRmult(needs a target to measure % against)","0 (off) - Inputs.mqh:354","UNKNOWN","UNKNOWN","% of the basket-TP target at which the first partial-close milestone fires.","ACTIVE",""
"_2_PartialFrac1","ExitManager.mqh (Exec_ClosePartialFraction)","fraction of basket volume (0-1)","exit","same gating as _2_PartialPct1, plus _2_PartialPct1 itself must be >0","_2_PartialPct1","0.30 - Inputs.mqh:355","UNKNOWN","UNKNOWN","Fraction of total basket volume closed at the first partial-close milestone.","ACTIVE",""
"_2_PartialPct2","ExitManager.mqh (Exit_ManagePartialClose)","% of basket-TP target","exit","same gating pattern as _2_PartialPct1, independently gated on its own >0 value","_2_PartialFrac2","0 (off) - Inputs.mqh:356","UNKNOWN","UNKNOWN","% of the basket-TP target at which the second partial-close milestone fires.","ACTIVE",""
"_2_PartialFrac2","ExitManager.mqh","fraction of basket volume (0-1)","exit","same gating as _2_PartialPct2","_2_PartialPct2","0.30 - Inputs.mqh:357","UNKNOWN","UNKNOWN","Fraction of total basket volume closed at the second partial-close milestone.","ACTIVE",""
